Time,Open,High,Low,Close,Volume
2021-01-03T22:00:00.000000000Z,1.22415,1.22460,1.22368,1.22437,81
2021-01-03T22:30:00.000000000Z,1.22430,1.22446,1.22353,1.22374,103
2021-01-03T23:00:00.000000000Z,1.22364,1.22457,1.22327,1.22410,668
2021-01-03T23:30:00.000000000Z,1.22409,1.22537,1.22403,1.22508,955
2021-01-04T00:00:00.000000000Z,1.22506,1.22507,1.22416,1.22464,1633
2021-01-04T00:30:00.000000000Z,1.22464,1.22464,1.22395,1.22417,1297
2021-01-04T01:00:00.000000000Z,1.22418,1.22513,1.22408,1.22454,1403
2021-01-04T01:30:00.000000000Z,1.22456,1.22566,1.22423,1.22534,1746
2021-01-04T02:00:00.000000000Z,1.22533,1.22590,1.22517,1.22556,1457
2021-01-04T02:30:00.000000000Z,1.22560,1.22592,1.22503,1.22549,1183
2021-01-04T03:00:00.000000000Z,1.22550,1.22584,1.22508,1.22583,1013
2021-01-04T03:30:00.000000000Z,1.22581,1.22585,1.22494,1.22557,1218
2021-01-04T04:00:00.000000000Z,1.22559,1.22559,1.22489,1.22497,658
2021-01-04T04:30:00.000000000Z,1.22498,1.22509,1.22444,1.22496,972
2021-01-04T05:00:00.000000000Z,1.22498,1.22503,1.22422,1.22453,960
2021-01-04T05:30:00.000000000Z,1.22454,1.22601,1.22453,1.22563,1096
2021-01-04T06:00:00.000000000Z,1.22564,1.22575,1.22428,1.22463,2327
2021-01-04T06:30:00.000000000Z,1.22464,1.22585,1.22464,1.22570,1499
2021-01-04T07:00:00.000000000Z,1.22571,1.22693,1.22549,1.22660,2502
2021-01-04T07:30:00.000000000Z,1.22662,1.22698,1.22575,1.22646,2521
2021-01-04T08:00:00.000000000Z,1.22645,1.22750,1.22628,1.22732,4148
2021-01-04T08:30:00.000000000Z,1.22731,1.22876,1.22719,1.22820,3357
2021-01-04T09:00:00.000000000Z,1.22821,1.22960,1.22797,1.22948,3149
2021-01-04T09:30:00.000000000Z,1.22950,1.23013,1.22901,1.22940,3137
2021-01-04T10:00:00.000000000Z,1.22939,1.23007,1.22905,1.22937,2425
2021-01-04T10:30:00.000000000Z,1.22934,1.22994,1.22905,1.22931,2414
2021-01-04T11:00:00.000000000Z,1.22931,1.23004,1.22930,1.22981,2163
2021-01-04T11:30:00.000000000Z,1.22982,1.22997,1.22921,1.22938,2542
2021-01-04T12:00:00.000000000Z,1.22937,1.23008,1.22878,1.23001,3170
2021-01-04T12:30:00.000000000Z,1.23002,1.23070,1.22948,1.23042,2667
2021-01-04T13:00:00.000000000Z,1.23043,1.23058,1.22870,1.22893,3806
2021-01-04T13:30:00.000000000Z,1.22895,1.23051,1.22895,1.22997,3916
2021-01-04T14:00:00.000000000Z,1.22997,1.23108,1.22943,1.23071,3895
2021-01-04T14:30:00.000000000Z,1.23071,1.23087,1.22844,1.22900,5730
2021-01-04T15:00:00.000000000Z,1.22902,1.22916,1.22718,1.22718,4877
2021-01-04T15:30:00.000000000Z,1.22716,1.22746,1.22613,1.22724,5854
2021-01-04T16:00:00.000000000Z,1.22725,1.22782,1.22674,1.22680,4921
